"","Year","Country","Month","ISO3","Temperature","Rain"
"347","1929","Eritrea","Nov","ERI","25.6364","9.33504"
"348","1929","Eritrea","Dec","ERI","20.8215","22.1686"
"349","1930","Eritrea","Jan","ERI","20.1287","3.99556"
"350","1930","Eritrea","Feb","ERI","23.9717","3.05739"
"351","1930","Eritrea","Mar","ERI","23.717","1.21786"
"352","1930","Eritrea","Apr","ERI","26.3328","10.7963"
"353","1930","Eritrea","May","ERI","28.5693","2.77958"
"354","1930","Eritrea","Jun","ERI","28.7767","20.5108"
"355","1930","Eritrea","Jul","ERI","28.1514","53.4968"
"356","1930","Eritrea","Aug","ERI","27.5881","115.677"
"357","1930","Eritrea","Sep","ERI","28.2071","4.66071"
"358","1930","Eritrea","Oct","ERI","27.2137","7.11998"
"359","1930","Eritrea","Nov","ERI","24.6424","0.86364"
"360","1930","Eritrea","Dec","ERI","24.5746","4.86587"
"361","1931","Eritrea","Jan","ERI","24.1212","3.39137"
"362","1931","Eritrea","Feb","ERI","24.8489","10.2973"
"363","1931","Eritrea","Mar","ERI","25.2032","3.06544"
"364","1931","Eritrea","Apr","ERI","27.0272","4.48596"
"365","1931","Eritrea","May","ERI","28.0574","19.713"
"366","1931","Eritrea","Jun","ERI","30.0859","5.37677"
"367","1931","Eritrea","Jul","ERI","29.0657","50.3529"
"368","1931","Eritrea","Aug","ERI","27.0874","87.4708"
"369","1931","Eritrea","Sep","ERI","27.736","44.0232"
"370","1931","Eritrea","Oct","ERI","27.4378","7.30539"
"371","1931","Eritrea","Nov","ERI","25.6652","3.7366"
"372","1931","Eritrea","Dec","ERI","24.0117","14.1294"
"373","1932","Eritrea","Jan","ERI","22.7329","3.59516"
"374","1932","Eritrea","Feb","ERI","23.7313","3.08007"
"375","1932","Eritrea","Mar","ERI","24.9637","9.88897"
"376","1932","Eritrea","Apr","ERI","27.2077","3.75754"
"377","1932","Eritrea","May","ERI","27.3525","28.604"
"378","1932","Eritrea","Jun","ERI","29.5045","14.4892"
"379","1932","Eritrea","Jul","ERI","27.8387","111.682"
"380","1932","Eritrea","Aug","ERI","27.0172","230.085"
"381","1932","Eritrea","Sep","ERI","27.2065","37.2168"
"382","1932","Eritrea","Oct","ERI","27.3858","3.4804"
"383","1932","Eritrea","Nov","ERI","25.5516","2.20037"
"384","1932","Eritrea","Dec","ERI","23.0093","18.1354"
"385","1933","Eritrea","Jan","ERI","24.7275","8.27962"
"386","1933","Eritrea","Feb","ERI","25.346","3.58193"
"387","1933","Eritrea","Mar","ERI","26.3919","4.75051"
"388","1933","Eritrea","Apr","ERI","25.7703","4.96639"
"389","1933","Eritrea","May","ERI","28.6276","14.9041"
"390","1933","Eritrea","Jun","ERI","29.498","31.6832"
