"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"961","1981","Namibia",23.8119,23.9625,22.1263,21.095,17.5343,13.8461,14.2368,15.1144,18.335,21.2653,23.7561,24.6386,39.8594,42.4489,36.3471,6.37295,0.23964,0.86373,0.36865,2.44719,0.23114,4.70641,16.7625,17.0008
"973","1982","Namibia",24.2787,24.5371,22.9995,19.3926,17.4179,14.9461,14.4429,16.6617,20.7462,21.9641,22.6263,24.1245,32.7407,61.3108,56.1564,24.6994,0.41583,2.1372,1.79444,0.20293,2.20207,8.78398,22.2626,42.3425
"985","1983","Namibia",25.4272,24.2519,23.488,22.0543,16.8126,15.007,15.1699,16.024,19.3959,22.249,22.9232,24.9572,54.0373,16.2517,23.2157,16.7386,6.17209,5.68524,0.15176,0.04914,0.84868,7.67562,39.4374,63.705
"997","1984","Namibia",25.3192,25.0792,23.9511,20.9637,17.663,15.2643,14.5648,16.8173,20.227,22.0233,23.3255,23.9028,23.8883,40.614,63.4619,38.8698,4.76057,0.90047,0.04055,0.17082,0.18873,11.2482,21.817,11.2408
"1009","1985","Namibia",24.808,23.9761,22.2661,20.6055,17.7479,14.8162,14.8279,17.4201,19.5373,22.8876,24.4839,24.2309,63.2856,66.5606,43.5224,8.19604,1.32603,0.00544,0.1485,0.09227,0.42337,11.3226,23.5742,36.1926
"1021","1986","Namibia",24.7774,23.7927,22.7868,20.7347,17.7847,15.2103,14.3811,17.0573,19.841,21.516,22.915,25.0584,55.535,56.4524,63.2145,15.9484,0.53596,3.59877,0.19924,0.27949,4.17057,20.3304,18.4387,15.1948
"1033","1987","Namibia",24.8639,24.5383,23.6175,21.5911,19.4919,15.0225,14.4554,16.7716,19.4509,22.5481,24.1226,24.4279,15.825,78.6831,24.8426,22.1415,1.62577,0.21684,2.16,0.31255,1.67523,12.9537,20.9699,33.2305
"1045","1988","Namibia",25.0487,24.4105,23.3823,20.1751,17.7976,14.8782,13.9699,17.1582,19.3626,21.1441,23.3559,23.7718,72.0171,56.758,34.9224,29.8232,2.00954,0.59426,0.21909,0.49213,0.54358,4.23407,22.4464,63.6826
"1057","1989","Namibia",24.1251,23.2346,22.5304,20.4897,17.2066,14.6157,13.8896,17.1729,19.7137,21.5706,23.7795,24.3231,76.2554,87.4729,18.4028,30.3633,3.51645,0.13444,0.64817,0.14934,0.20638,2.06097,8.25877,9.37184
"1069","1990","Namibia",24.5728,23.7894,22.9072,20.802,18.2007,14.8819,14.3679,16.6114,20.0664,22.1642,24.4094,24.4227,76.51,38.7805,63.9033,25.9732,0.47837,0.62181,0.20295,0.16643,0.26161,6.38541,14.7733,33.8384
