"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"1045","1988","France",6.32882,4.66196,6.43592,10.1256,13.8507,16.1628,17.8222,18.8138,15.575,12.8449,6.01017,5.56699,134.667,77.2053,99.6955,70.9405,115.714,65.896,73.4452,40.4483,56.7342,95.3963,40.4364,50.7491
"1057","1989","France",3.80807,5.29458,9.21935,8.14972,15.6158,16.9748,20.3147,19.5778,16.3774,13.0111,6.74878,5.59757,26.2198,63.6967,54.287,133.568,31.1279,36.6623,48.2101,44.4376,43.1093,42.7427,64.5501,76.9057
"1069","1990","France",4.33983,8.6543,8.57963,8.81489,15.4288,16.0318,19.7394,20.6477,15.8588,13.3429,7.09193,2.65788,54.3633,100.38,15.8901,72.2093,54.1551,78.9854,32.5378,42.4062,44.9772,117.421,76.1265,75.0977
"1081","1991","France",3.55893,1.80521,9.06057,8.66942,11.5755,14.9801,19.8638,20.9565,17.9976,10.6867,6.65364,3.24705,55.856,37.6039,76.209,50.321,36.3691,69.6719,56.495,25.3255,97.2219,77.1235,92.0291,35.3224
"1093","1992","France",2.29906,4.55385,7.54494,9.51007,15.2742,15.9715,19.2905,20.1121,15.4827,9.59145,8.77039,4.86715,28.5376,34.0157,59.3621,55.2602,64.2209,109.801,67.431,89.5658,69.1763,123.215,103.178,70.8559
"1105","1993","France",5.4836,3.13798,6.82836,10.4283,14.078,17.3333,17.7762,18.7399,14.5764,10.2956,4.48424,6.09939,42.6855,17.3965,20.345,104.995,77.9192,86.6152,63.3686,41.641,157.384,119.675,44.7586,114.768
"1117","1994","France",4.97169,4.96252,9.43613,8.59415,13.6962,17.1635,21.5293,20.0522,14.925,11.9551,10.1518,6.2915,105.368,85.8265,34.522,88.54,92.7677,61.2597,51.1653,58.1945,148.012,81.5849,74.8861,73.4066
"1129","1995","France",4.20402,7.36125,6.3158,9.76773,13.6357,16.1103,21.3041,20.2393,14.3578,14.66,7.26124,3.82216,119.087,91.8989,71.8115,65.1319,83.6108,28.9311,55.1727,48.525,107.371,43.0465,59.4605,99.9073
"1141","1996","France",4.9136,2.83498,6.00496,10.1644,12.2964,17.7138,18.7712,18.3642,14.1342,11.869,6.77186,3.28313,81.9973,72.8591,37.0307,40.6357,83.6875,39.1187,62.2532,80.299,55.4159,55.2818,158.744,81.138
"1153","1997","France",1.9368,6.91015,9.40785,10.1144,14.2853,16.3099,18.5886,21.4124,17.251,12.3741,8.2487,5.35187,56.6295,62.0508,11.7778,25.7382,87.4732,126.183,54.5362,77.3294,23.173,55.1717,113.912,99.0871
"1165","1998","France",4.86991,5.90377,8.16341,9.02511,15.0778,17.2279,18.7817,19.7851,16.0487,11.696,4.86582,4.30678,82.9989,18.1291,33.9601,144.53,49.7803,55.4818,44.1814,35.2551,117.924,108.646,55.955,65.399
"1177","1999","France",5.18906,4.05425,8.12107,10.1828,15.436,16.5449,20.3432,19.67,18.1023,12.2885,5.92944,4.78268,84.9245,62.339,63.089,85.2084,81.9647,58.9442,56.6183,73.5501,122.186,90.1811,76.3416,132.722
"1189","2000","France",3.45704,6.57088,7.70133,10.0482,15.2074,17.9375,17.5272,19.9285,16.9863,12.2341,8.10229,6.96208,23.8885,68.289,45.7922,100.744,79.4951,56.6932,102.381,54.0106,68.405,129.85,140.279,86.4602
"1201","2001","France",5.09476,5.38091,8.83498,8.78069,15.001,16.8908,19.3916,20.1206,14.199,14.9239,5.95256,2.43543,102.37,45.4411,138.153,93.2941,60.567,47.1829,100.933,57.9225,74.7067,85.5609,54.4008,37.3755
"1213","2002","France",4.44809,7.23602,8.63465,10.4656,13.1325,18.1052,18.5446,18.5881,15.5106,12.3023,8.98942,6.44734,38.8329,84.8897,50.2182,37.417,106.939,64.9043,72.0217,92.5564,62.2645,93.6351,145.107,91.0155
"1225","2003","France",2.7138,3.09489,9.14363,10.9943,14.5546,19.6,20.9261,21.3978,16.6883,10.2941,8.5264,4.85129,77.0904,41.5359,28.5818,49.968,61.4901,46.8612,48.3668,41.0958,51.6961,105.836,83.2599,81.7469
"1237","2004","France",4.3428,4.71047,6.44371,9.99282,13.1694,18.0087,18.9351,19.7021,17.2087,13.2821,6.92157,3.88708,119.796,36.1976,48.167,69.7175,54.3706,30.0823,56.3269,109.928,30.6159,124.534,44.2436,63.8482
"1249","2005","France",4.08257,2.27752,7.09584,10.3721,14.2587,19.2601,19.9764,18.6422,17.0157,14.3435,6.31558,2.56924,41.4968,36.7973,40.0597,90.8379,62.5767,43.9428,52.5571,42.794,60.7114,73.4677,69.8714,58.8872
